teaching_point,question_type,language,bloom_level,request_language,request_question_type,request_bloom_level,number_of_distractors,number_of_correct_answers,teaching_point_en,teaching_point_ar,question_number,question_text,model_answer,num_options,correct_answers,num_correct_answers,option_A,option_B,option_C,option_D,option_E,option_F,options_formatted,error_status,error_message
يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,MULTI_SELECT,arabic,APPLY,ar,MULTI_SELECT,APPLY,5.0,2.0,"Explain the concept of Leadership as a ""force"" to maximize the collective action of the organization.",يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,2,أي من العوامل التالية يُعتبر من أبرز مظاهر قيادة الوحدة كقوة مُعززة للأداء الجماعي في الدفاع الجوي؟,,6.0,"C, G",2.0,الانفراد بالقرارات دون استشارة الآخرين,تفكيك الأدوار والمهام بين الأفراد,توجيه الأفراد نحو هدف مشترك,تقليل التواصل بين الأقسام,تجاهل التخطيط المسبق,زيادة التوتر بين الأفراد,A) الانفراد بالقرارات دون استشارة الآخرين | B) تفكيك الأدوار والمهام بين الأفراد | C) توجيه الأفراد نحو هدف مشترك | D) تقليل التواصل بين الأقسام | E) تجاهل التخطيط المسبق | F) زيادة التوتر بين الأفراد,,
يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,MULTI_SELECT,arabic,APPLY,ar,MULTI_SELECT,APPLY,5.0,2.0,"Explain the concept of Leadership as a ""force"" to maximize the collective action of the organization.",يشرح مفهوم عمل القيادة كقوة تعظم من فعالية الأداء الجماعي للوحدة,3,ما هو التأثير المتوقع لقيادة قوية في وحدة دفاع جوي؟,,6.0,"C, G",2.0,تقليل الكفاءة في العمليات,زيادة الانقسام بين الأفراد,تحسين التنسيق بين الأدوار والوحدات,تجاهل الأولويات الأمنية,تقليل التفاعل بين الضباط,تعزيز التفاهيلات المتكررة,A) تقليل الكفاءة في العمليات | B) زيادة الانقسام بين الأفراد | C) تحسين التنسيق بين الأدوار والوحدات | D) تجاهل الأولويات الأمنية | E) تقليل التفاعل بين الضباط | F) تعزيز التفاهيلات المتكررة,,
يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,MULTI_SELECT,arabic,CREATE,ar,MULTI_SELECT,CREATE,5.0,3.0,"State the meaning of ""PEA"" and ""NEA""",يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,1,ما هي المفاهيم التي تُعتبر من عوامل الجذب العاطفي الإيجابي ضمن سياق الدفاع الجوي؟,,6.0,"A, C, F",3.0,التقدير والاعتراف بالإنجازات,التحفيز بالعقوبات الصارمة,التفاعل الإيجابي مع الأقران,التحديات المستمرة,التحفيز عبر الإحباط,الدعم النفسي للطواقم,A) التقدير والاعتراف بالإنجازات | B) التحفيز بالعقوبات الصارمة | C) التفاعل الإيجابي مع الأقران | D) التحديات المستمرة | E) التحفيز عبر الإحباط | F) الدعم النفسي للطواقم,,
يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,MULTI_SELECT,arabic,CREATE,ar,MULTI_SELECT,CREATE,5.0,3.0,"State the meaning of ""PEA"" and ""NEA""",يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,2,ما هي العوامل التي يمكن أن تؤدي إلى انخفاض عامل الجذب العاطفي السلبي في بيئة العمل الجوي؟,,6.0,"B, E, H",3.0,تقليل فرص الترقية,تحسين بيئة العمل والتفاعل الإيجابي,إهمال التغذية الراجعة,تقليل الاحتمالات المتاحة,تعزيز الشعور بالثقة,تقليل التحديات والمسائلة,A) تقليل فرص الترقية | B) تحسين بيئة العمل والتفاعل الإيجابي | C) إهمال التغذية الراجعة | D) تقليل الاحتمالات المتاحة | E) تعزيز الشعور بالثقة | F) تقليل التحديات والمسائلة,,
يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,MULTI_SELECT,arabic,CREATE,ar,MULTI_SELECT,CREATE,5.0,3.0,"State the meaning of ""PEA"" and ""NEA""",يبين معنى عامل الجذب العاطفي الإيجابي وعامل الجذب العاطفي السلبي,3,ما هي العوامل التي قد تؤثر سلبًا على عامل الجذب العاطفي في وحدة دفاع جوي؟,,6.0,"B, D, F",3.0,الاستقرار في الأداء,التحديات اليومية المفرطة,التفاعل الإيجابي مع الأقران,انعدام الوضوح في الأهداف,التقدير والاعتراف بالإنجازات,تكرار الإجراءات بشكل عشوائي,A) الاستقرار في الأداء | B) التحديات اليومية المفرطة | C) التفاعل الإيجابي مع الأقران | D) انعدام الوضوح في الأهداف | E) التقدير والاعتراف بالإنجازات | F) تكرار الإجراءات بشكل عشوائي,,
Classify Emotion Types,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,4.0,0.0,Classify Emotion Types,يصنف أنواع المشاعر,1,"In a combat scenario, a pilot experiences a sudden surge of fear during a surprise enemy attack. According to AFADI's emotional classification framework, what type of emotion is this most likely classified as?",,4.0,B,1.0,Cognitive emotion,Defensive emotion,Aggressive emotion,Social emotion,,,A) Cognitive emotion | B) Defensive emotion | C) Aggressive emotion | D) Social emotion,,
Classify Emotion Types,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,4.0,0.0,Classify Emotion Types,يصنف أنواع المشاعر,2,"During a joint military exercise, a radar operator shows intense focus and alertness while monitoring for hostile aircraft. Based on AFADI's emotional classification, what type of emotion is this behavior primarily associated with?",,4.0,D,1.0,Fear,Anger,Anxiety,Alertness,,,A) Fear | B) Anger | C) Anxiety | D) Alertness,,
Classify Emotion Types,MULTICHOICE,english,EVALUATE,en,MULTICHOICE,EVALUATE,4.0,0.0,Classify Emotion Types,يصنف أنواع المشاعر,3,"After a successful air defense mission, a squadron leader displays a sense of pride and accomplishment. According to AFADI's emotional classification system, which type of emotion is this classified as?",,4.0,C,1.0,Defensive,Social,Achievement,Cognitive,,,A) Defensive | B) Social | C) Achievement | D) Cognitive,,
يشرح وظيفة الجهاز العصبي اللاإرادي,MULTICHOICE,arabic,APPLY,ar,MULTICHOICE,APPLY,2.0,0.0,Explain the function of the Autonomic Nervous System,يشرح وظيفة الجهاز العصبي اللاإرادي,1,ما هي الوظيفة الأساسية للجهاز العصبي اللامبالي في سياق دفاعات الجوية؟,,4.0,C,1.0,تنظيم الحركة الإرادية,الحفاظ على التوازن,التحكم في وظائف الجسم الذاتية مثل ضربات القلب والتنفس,التحكم في الإشارات البصرية,,,A) تنظيم الحركة الإرادية | B) الحفاظ على التوازن | C) التحكم في وظائف الجسم الذاتية مثل ضربات القلب والتنفس | D) التحكم في الإشارات البصرية,,
يشرح وظيفة الجهاز العصبي اللاإرادي,MULTICHOICE,arabic,APPLY,ar,MULTICHOICE,APPLY,2.0,0.0,Explain the function of the Autonomic Nervous System,يشرح وظيفة الجهاز العصبي اللاإرادي,2,في سيناريو تهديد جوي، ما الذي يُعتبر من وظائف الجهاز العصبي اللامبالي؟,,4.0,C,1.0,توجيه الأسلحة بدقة,ضبط درجة حرارة الجسم,الحفاظ على نبضات القلب وضغط الدم مستقرة,معالجة الإشارات البصرية,,,A) توجيه الأسلحة بدقة | B) ضبط درجة حرارة الجسم | C) الحفاظ على نبضات القلب وضغط الدم مستقرة | D) معالجة الإشارات البصرية,,
يشرح وظيفة الجهاز العصبي اللاإرادي,MULTICHOICE,arabic,APPLY,ar,MULTICHOICE,APPLY,2.0,0.0,Explain the function of the Autonomic Nervous System,يشرح وظيفة الجهاز العصبي اللاإرادي,3,ماذا يحدث إذا تلف الجهاز العصبي اللامبالي أثناء تدريب عسكري؟,,4.0,B,1.0,يفقد الفرد القدرة على التحكم بالحركة الإرادية,يتأثر استقرار وظائف الجسم الذاتية مثل التنفس والقلب,يفقد القدرة على رؤية الأهداف البعيدة,يصبح من الصعب عليه التحكم بالأنظمة الإلكترونية,,,A) يفقد الفرد القدرة على التحكم بالحركة الإرادية | B) يتأثر استقرار وظائف الجسم الذاتية مثل التنفس والقلب | C) يفقد القدرة على رؤية الأهداف البعيدة | D) يصبح من الصعب عليه التحكم بالأنظمة الإلكترونية,,
يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,MULTICHOICE,arabic,REMEMBER,ar,MULTICHOICE,REMEMBER,3.0,0.0,Explain the role/function of Default Mode and Tasks Positive Brain networks,يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,1,"ما هو الهدف الرئيسي من ""الوضع الافتراضي"" في أنظمة دفاع الجوية؟",,4.0,B,1.0,تحديد الأجسام الطائرة غير المرغوب فيها,تمكين الطواقم من تجربة المهام بيئة واقعية,تقليل كفاءة أنظمة الإنذار المبكر,منع الأعطال الفنية في المعدات,,,A) تحديد الأجسام الطائرة غير المرغوب فيها | B) تمكين الطواقم من تجربة المهام بيئة واقعية | C) تقليل كفاءة أنظمة الإنذار المبكر | D) منع الأعطال الفنية في المعدات,,
يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,MULTICHOICE,arabic,REMEMBER,ar,MULTICHOICE,REMEMBER,3.0,0.0,Explain the role/function of Default Mode and Tasks Positive Brain networks,يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,2,"ما المهمة الأساسية لشبكات ""الدماغ الإيجابي"" في سياق دفاع الجوية؟",,4.0,C,1.0,تحليل البيانات المناخية,تحسين قدرات المقاتلات الجوية,تجميع المعلومات وتحليلها لاتخاذ القرارات,إدارة موارد الطاقة في القواعد الجوية,,,A) تحليل البيانات المناخية | B) تحسين قدرات المقاتلات الجوية | C) تجميع المعلومات وتحليلها لاتخاذ القرارات | D) إدارة موارد الطاقة في القواعد الجوية,,
يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,MULTICHOICE,arabic,REMEMBER,ar,MULTICHOICE,REMEMBER,3.0,0.0,Explain the role/function of Default Mode and Tasks Positive Brain networks,يشرح دور / وظيفة الوضع الافتراضي ومهام شبكات الدماغ الإيجابي,3,"ما الذي يُعد من مهام ""الوضع الافتراضي"" في أنظمة دفاع الجوية؟",,4.0,B,1.0,ضمان إيقاف جميع أنواع الطائرات,تدريب الطواقم على السيناريوهات المختلفة بطريقة آمنة,تقليل عدد الطائرات في المجال الجوي,منع أي طائرة غير مرخصة من الطيران,,,A) ضمان إيقاف جميع أنواع الطائرات | B) تدريب الطواقم على السيناريوهات المختلفة بطريقة آمنة | C) تقليل عدد الطائرات في المجال الجوي | D) منع أي طائرة غير مرخصة من الطيران,,
,,,,ar,TRUE_FALSE_JUSTIFICATION,EVALUATE,,,Explain the Intentional Change Theory cycle,يشرح دورة نظرية التغيير المقصود,0,ERROR_RESPONSE,,,,,,,,,,,,500.0,"{""detail"":""Question generation failed: name 'create_fallback_question' is not defined""}"
"Conduct ""IDEAL SELF"" discovery",TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,2.0,0.0,"Conduct ""IDEAL SELF"" discovery",يؤدي اكتشاف الذات المثالية,1,"In the context of AFADI air defense operations, is the ""IDEAL SELF"" discovery method used to help personnel recognize and understand their own strengths and weaknesses in a team-based scenario?","True. The ""IDEAL SELF"" discovery is a reflective tool used in military training to help personnel analyze their behavior, strengths, and areas for improvement, which is essential for effective team coordination and decision-making in air defense operations.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Conduct ""IDEAL SELF"" discovery",TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,2.0,0.0,"Conduct ""IDEAL SELF"" discovery",يؤدي اكتشاف الذات المثالية,2,"Does the ""IDEAL SELF"" discovery process require individuals to evaluate their emotional responses during high-stress air defense simulations?","True. The ""IDEAL SELF"" method encourages reflection on emotional and cognitive responses, which is critical in high-stress environments like air defense operations to improve situational awareness and decision-making.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
"Conduct ""IDEAL SELF"" discovery",TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,2.0,0.0,"Conduct ""IDEAL SELF"" discovery",يؤدي اكتشاف الذات المثالية,3,"In an AFADI scenario, is the ""IDEAL SELF"" discovery intended to be used only by officers and not by enlisted personnel?","False. The ""IDEAL SELF"" discovery is a reflective practice applicable to all ranks, as it helps individuals at every level assess their performance, enhance self-awareness, and contribute effectively to air defense operations.",2.0,B,1.0,True,False,,,,,A) True | B) False,,
يؤدي اكتشاف الذات الحقيقة,TRUE_FALSE,arabic,REMEMBER,ar,TRUE_FALSE,REMEMBER,4.0,0.0,"Conduct ""REAL SELF"" discovery",يؤدي اكتشاف الذات الحقيقة,1,"أي من العبارات التالية صحيحة بالنسبة لـ ""اكتشاف الذات الحقيقة"" في سياق الدفاع الجوي؟",,2.0,B,1.0,True,False,,,,,A) True | B) False,,
يؤدي اكتشاف الذات الحقيقة,TRUE_FALSE,arabic,REMEMBER,ar,TRUE_FALSE,REMEMBER,4.0,0.0,"Conduct ""REAL SELF"" discovery",يؤدي اكتشاف الذات الحقيقة,2,"هل يُعتبر ""اكتشاف الذات الحقيقة"" من المفاهيم الأساسية في تدريبات الطواقم الجوية في AFADI؟",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
يؤدي اكتشاف الذات الحقيقة,TRUE_FALSE,arabic,REMEMBER,ar,TRUE_FALSE,REMEMBER,4.0,0.0,"Conduct ""REAL SELF"" discovery",يؤدي اكتشاف الذات الحقيقة,3,"هل يُستخدم ""اكتشاف الذات الحقيقة"" كأداة لتحسين التواصل بين الطواقم في سياق الدفاع الجوي؟",,2.0,A,1.0,True,False,,,,,A) True | B) False,,
Conduct GAPs and STRENGHTs analysis,MULTI_SELECT,english,APPLY,en,MULTI_SELECT,APPLY,5.0,4.0,Conduct GAPs and STRENGHTs analysis,يؤدي تحليل الفجوات ونقاط القوة,1,Which of the following actions are part of conducting a GAPs and STRENGTHs analysis in an air defense scenario at AFADI?,,6.0,"A, B, D, G",4.0,Identifying gaps in radar coverage between friendly units,Evaluating the effectiveness of air defense missile systems,Conducting a full-scale combat exercise without planning,Comparing current capabilities with desired operational goals,Assessing the training levels of ground troops,Ignoring potential threats from unsecured airspace,A) Identifying gaps in radar coverage between friendly units | B) Evaluating the effectiveness of air defense missile systems | C) Conducting a full-scale combat exercise without planning | D) Comparing current capabilities with desired operational goals | E) Assessing the training levels of ground troops | F) Ignoring potential threats from unsecured airspace,,
Conduct GAPs and STRENGHTs analysis,MULTI_SELECT,english,APPLY,en,MULTI_SELECT,APPLY,5.0,4.0,Conduct GAPs and STRENGHTs analysis,يؤدي تحليل الفجوات ونقاط القوة,2,"During a mission planning session at AFADI, which of the following should be included in a GAPs and STRENGTHs analysis to ensure operational readiness?",,6.0,"A, B, E, G",4.0,Evaluating the current status of air defense alert levels,Identifying areas of overlap in surveillance coverage,Disregarding past operational data due to time constraints,Determining the number of friendly aircraft in the area,Highlighting the advantages of the enemy's air superiority,Focusing only on the latest technology and ignoring older systems,A) Evaluating the current status of air defense alert levels | B) Identifying areas of overlap in surveillance coverage | C) Disregarding past operational data due to time constraints | D) Determining the number of friendly aircraft in the area | E) Highlighting the advantages of the enemy's air superiority | F) Focusing only on the latest technology and ignoring older systems,,
Conduct GAPs and STRENGHTs analysis,MULTI_SELECT,english,APPLY,en,MULTI_SELECT,APPLY,5.0,4.0,Conduct GAPs and STRENGHTs analysis,يؤدي تحليل الفجوات ونقاط القوة,3,Which of the following steps are critical when conducting a GAPs and STRENGTHs analysis in an air defense context at AFADI?,,6.0,"A, C, F, G",4.0,Identifying potential threats from enemy air capabilities,Ignoring the impact of weather conditions on radar systems,Evaluating the effectiveness of current air defense tactics,Analyzing the strengths of the enemy's logistics chain,Focusing solely on the numerical advantage of friendly forces,Identifying gaps in surveillance and early warning systems,A) Identifying potential threats from enemy air capabilities | B) Ignoring the impact of weather conditions on radar systems | C) Evaluating the effectiveness of current air defense tactics | D) Analyzing the strengths of the enemy's logistics chain | E) Focusing solely on the numerical advantage of friendly forces | F) Identifying gaps in surveillance and early warning systems,,
"Formulate ""SELF LEARNING AGENDA""",MULTICHOICE,english,REMEMBER,en,MULTICHOICE,REMEMBER,4.0,0.0,"Formulate ""SELF LEARNING AGENDA""",يصيغ أجندة التعلم الذاتي,1,"What is the primary purpose of a ""SELF LEARNING AGENDA"" in the context of Air Force Defense and Institute (AFADI) training?",,4.0,B,1.0,To ensure all personnel are promoted based on seniority,To provide structured self-directed learning objectives for individual development,To replace all instructor-led training sessions,To eliminate the need for written exams,,,A) To ensure all personnel are promoted based on seniority | B) To provide structured self-directed learning objectives for individual development | C) To replace all instructor-led training sessions | D) To eliminate the need for written exams,,
"Formulate ""SELF LEARNING AGENDA""",MULTICHOICE,english,REMEMBER,en,MULTICHOICE,REMEMBER,4.0,0.0,"Formulate ""SELF LEARNING AGENDA""",يصيغ أجندة التعلم الذاتي,2,"Which of the following best describes the role of a ""SELF LEARNING AGENDA"" in the Air Force Defense and Institute (AFADI)?",,4.0,B,1.0,A mandatory group exercise for all trainees,"A personal plan outlining learning goals, resources, and timelines",A test to evaluate leadership abilities,A requirement to attend all lectures without exception,,,"A) A mandatory group exercise for all trainees | B) A personal plan outlining learning goals, resources, and timelines | C) A test to evaluate leadership abilities | D) A requirement to attend all lectures without exception",,
"Formulate ""SELF LEARNING AGENDA""",MULTICHOICE,english,REMEMBER,en,MULTICHOICE,REMEMBER,4.0,0.0,"Formulate ""SELF LEARNING AGENDA""",يصيغ أجندة التعلم الذاتي,3,"In the context of AFADI, what is the main advantage of implementing a ""SELF LEARNING AGENDA""?",,4.0,B,1.0,It reduces the number of instructors needed,It promotes independence and accountability in training,It replaces all written materials,It ensures all trainees learn at the same pace,,,A) It reduces the number of instructors needed | B) It promotes independence and accountability in training | C) It replaces all written materials | D) It ensures all trainees learn at the same pace,,
Show desired behavioural changes,TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,4.0,0.0,Show desired behavioural changes,يبين التغييرات السلوكية المرغوبة,1,"In an air defense scenario, if a unit observes a significant increase in hostile aerial activity, but no formal order has been issued to change the alert status, is it considered a behavioral change in line with the teaching point ""Show desired behavioural changes""?","False. The teaching point ""Show desired behavioural changes"" refers to modifying behavior in response to a directive or operational requirement. In this case, without a formal order, the observed increase in activity does not constitute a behavioral change as defined by the teaching point.",2.0,B,1.0,True,False,,,,,A) True | B) False,,
Show desired behavioural changes,TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,4.0,0.0,Show desired behavioural changes,يبين التغييرات السلوكية المرغوبة,2,"If a pilot alters their flight path based on new intelligence without receiving an official mission update, does this represent a behavioural change as outlined in the teaching point ""Show desired behavioural changes""?","False. The teaching point emphasizes behavioral changes that are directed or mandated by an authority. In this case, the pilot's action is based on personal initiative rather than an official directive, so it does not qualify as a behavioral change under the teaching point.",2.0,B,1.0,True,False,,,,,A) True | B) False,,
Show desired behavioural changes,TRUE_FALSE_JUSTIFICATION,english,ANALYZE,en,TRUE_FALSE_JUSTIFICATION,ANALYZE,4.0,0.0,Show desired behavioural changes,يبين التغييرات السلوكية المرغوبة,3,"During a joint exercise, if a unit implements a new defensive posture after analyzing the threat environment, does this action reflect the teaching point ""Show desired behavioural changes""?","True. The teaching point ""Show desired behavioural changes"" involves modifying behavior in response to new information or conditions. In this case, the unit’s proactive adjustment of posture based on threat analysis aligns with the concept of showing desired behavioral changes.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
Show positive team relationships,TRUE_FALSE_JUSTIFICATION,english,REMEMBER,en,TRUE_FALSE_JUSTIFICATION,REMEMBER,3.0,0.0,Show positive team relationships,يبين علاقات الفريق الإيجابية,1,"In the context of Air Force Defense and Institute (AFADI) operations, is maintaining positive team relationships essential for effective communication and mission success?","Positive team relationships are essential in AFADI operations as they promote trust, cooperation, and efficient communication, all of which are critical for mission success.",2.0,A,1.0,True,False,,,,,A) True | B) False,,
